geometry,name,id,latitude,longitude,category,vi
POINT (-3.7655713 40.3942741),Centro Privado de Formación Profesional Específica Escuela Politecnica Giner,school_108,40.3942741,-3.7655713,school,0.0
POINT (-3.7035557 40.4148943),Centro Privado de Formación Profesional Específica Centro de Formación Técnica,school_109,40.4148943,-3.7035557,school,0.0
POINT (-3.7073252 40.3481158),Centro Privado de Formación Profesional Específica Hease,school_110,40.3481158,-3.7073252,school,0.0
POINT (-3.6500734 40.4435394),Colegio de Educación Especial Infanta Elena,school_111,40.4435394,-3.6500734,school,0.0
POINT (-3.6963686 40.4111037),Centro Privado de Educación de Personas Adultas Practivox,school_112,40.4111037,-3.6963686,school,0.0
POINT (-3.5840634 40.470602),Colegio de Educación Infantil y Primaria Calderón de la Barca,school_113,40.470602,-3.5840634,school,0.0
POINT (-3.6862022 40.4271337),institucion Artística de Enseñanza (IADE),school_114,40.4271337,-3.6862022,school,0.0
POINT (-3.707302 40.4244706),Escuela Superior de Canto Escuela Superior de Canto de Madrid,school_115,40.4244706,-3.707302,school,0.0
POINT (-3.7115228 40.440524),Escuela Oficial de Idiomas de Madrid-Jesús Maestro,school_116,40.440524,-3.7115228,school,0.0
POINT (-3.6192572 40.3772231),"Centro Privado de Educación Infantil, Primaria y Secundaria Nueva Castilla",school_117,40.3772231,-3.6192572,school,0.0
POINT (-3.6577024 40.4605049),Antiguo Centro de E.E. Virgen de Nuria,school_118,40.4605049,-3.6577024,school,0.0
POINT (-3.7027826 40.3678875),Centro Público de Educación para Personas Adultas Daoiz y Velarde,school_119,40.3678875,-3.7027826,school,0.0
POINT (-3.6713004 40.419323),Aula Hospitalaria Hospital Gregorio Marañón,school_120,40.419323,-3.6713004,school,0.0
POINT (-3.647009 40.4633849),Centro Privado de Educación Secundaria Santa Rosa de Lima,school_121,40.4633849,-3.647009,school,0.0
POINT (-3.7057673 40.3438685),Colegio de Educación Infantil y Primaria Nuestra Señora de la Luz,school_122,40.3438685,-3.7057673,school,0.0
POINT (-3.706672 40.4456104),Centro de enseñanza CENEC,school_123,40.4456104,-3.706672,school,0.0
